,,Понедельник,Вторник,Среда,Четверг,Пятница,Суббота
0,"0
08:30 - 08:55","8Д
Классный Час
413",--,--,--,--,--
1,"1
09:00 - 09:45",--,"11А/11Б/11В/11Г/11Д
Практ.эк. (1)
41",--,--,--,--
2,"2
09:55 - 10:40",--,"11А/11Б/11В/11Г/11Д
Практ.эк. (1)
41",--,--,--,--
3,"3
10:50 - 11:35",--,"8Д
История
41","8А
История
45",--,"11А/11Б/11В/11Г/11Д
Обществознание (1)
44","10А/10В/10Г/10Д
Обществознание (2)
34"
4,"4
11:45 - 12:30",--,"8Д
История
41",--,--,"11А/11Б/11В/11Г/11Д
Обществознание (1)
44","10А/10В/10Г/10Д
Обществознание (2)
34"
5,"5
12:50 - 13:35",--,"8Г
История
41","8В
История
45",--,--,"10А/10Б/10В/10Г
Обществознание (1)
34"
6,"6
13:55 - 14:40",--,"8Г
История
41","8В
История
45",--,"8Б
История
36","10А/10Б/10В/10Г
Обществознание (1)
34"
7,"7
14:50 - 15:35",--,--,"8А
История
45",--,"8Б
История
36",--
8,"8
15:45 - 16:30",--,--,--,--,--,--
