,,Понедельник,Вторник,Среда,Четверг,Пятница,Суббота
0,"0
08:30 - 08:55",--,--,--,--,--,--
1,"1
09:00 - 09:45",--,"11А/11Б/11В/11Г/11Д
Физика ЕГЭ (1)
409",--,--,"8Г
Практ.Физ.
409",--
2,"2
09:55 - 10:40",--,"11А/11Б/11В/11Г/11Д
Физика ЕГЭ (1)
409",--,--,"8Г
Практ.Физ.
409",--
3,"3
10:50 - 11:35",--,"8В
Практ.Физ.
409",--,--,"8Г
Практ.Физ.
409",--
4,"4
11:45 - 12:30",--,"8В
Практ.Физ.
409",--,--,"8Г
Практ.Физ.
409",--
5,"5
12:50 - 13:35",--,"8В
Практ.Физ.
409",--,--,"11А/11Б/11В/11Г/11Д
Физика ЕГЭ (1)
409",--
6,"6
13:55 - 14:40",--,"8В
Практ.Физ.
409",--,--,"11А/11Б/11В/11Г/11Д
Физика ЕГЭ (1)
409",--
7,"7
14:50 - 15:35",--,--,--,--,--,--
8,"8
15:45 - 16:30",--,--,--,--,--,--
