,,Понедельник,Вторник,Среда,Четверг,Пятница,Суббота
0,"0
08:30 - 08:55",--,--,--,--,--,--
1,"1
09:00 - 09:45","8Б
Практ.Физ.
409",--,"7В
Практ.Физ.
409","8Д
Практ.Физ.
412","7Г
Практ.Физ.
410",--
2,"2
09:55 - 10:40","8Б
Практ.Физ.
409",--,"7В
Практ.Физ.
409","8Д
Практ.Физ.
412","7Г
Практ.Физ.
410",--
3,"3
10:50 - 11:35","9Б
Практ.Физ.
409",--,"7В
Практ.Физ.
409","8Д
Практ.Физ.
412","7Г
Практ.Физ.
410",--
4,"4
11:45 - 12:30","9Б
Практ.Физ.
409",--,"7В
Практ.Физ.
409","8Д
Практ.Физ.
412","7Г
Практ.Физ.
410",--
5,"5
12:50 - 13:35","8Б
Практ.Физ.
409",--,--,--,--,--
6,"6
13:55 - 14:40","8Б
Практ.Физ.
409",--,--,--,--,--
7,"7
14:50 - 15:35",--,--,--,--,--,--
8,"8
15:45 - 16:30",--,--,--,--,--,--
