,,Понедельник,Вторник,Среда,Четверг,Пятница,Суббота
0,"0
08:30 - 08:55",--,--,--,--,--,--
1,"1
09:00 - 09:45",--,"11А/11Б/11В/11Г/11Д
Физика (1)
414",--,"11А/11Б/11В/11Г/11Д
Физика (1)
414",--,--
2,"2
09:55 - 10:40",--,"11А/11Б/11В/11Г/11Д
Физика (1)
414",--,"11А/11Б/11В/11Г/11Д
Физика (1)
414",--,--
3,"3
10:50 - 11:35",--,"7Д
Практ.Физ.
414",--,"7Д
Физика
414",--,--
4,"4
11:45 - 12:30",--,"7Д
Практ.Физ.
414",--,"7Д
Физика
414",--,--
5,"5
12:50 - 13:35",--,"7Д
Практ.Физ.
414",--,"7Б
Физика
414",--,--
6,"6
13:55 - 14:40",--,"7Д
Практ.Физ.
414",--,"7Б
Физика
414",--,--
7,"7
14:50 - 15:35",--,--,--,--,--,--
8,"8
15:45 - 16:30",--,--,--,--,--,--
