,,Понедельник,Вторник,Среда,Четверг,Пятница,Суббота
0,"0
08:30 - 08:55","7В
Классный Час
409",--,--,--,--,--
1,"1
09:00 - 09:45","8Г
Физика
410",--,--,--,--,"8В
Физика
409"
2,"2
09:55 - 10:40","8Г
Физика
410",--,--,--,--,"8В
Физика
409"
3,"3
10:50 - 11:35",--,--,--,--,--,"8А
Практ.Физ.
409"
4,"4
11:45 - 12:30",--,--,--,--,--,"8А
Практ.Физ.
409"
5,"5
12:50 - 13:35","7В
Физика
412",--,--,--,--,"8А
Практ.Физ.
409"
6,"6
13:55 - 14:40","7В
Физика
412",--,--,--,--,"8А
Практ.Физ.
409"
7,"7
14:50 - 15:35",--,--,--,--,--,--
8,"8
15:45 - 16:30",--,--,--,--,--,--
