,,Понедельник,Вторник,Среда,Четверг,Пятница,Суббота
0,"0
08:30 - 08:55",--,--,--,--,--,--
1,"1
09:00 - 09:45",--,--,--,--,--,"9Б
География
47"
2,"2
09:55 - 10:40",--,--,--,--,--,"9Б
География
47"
3,"3
10:50 - 11:35",--,--,--,--,--,"10А/10Б/10В/10Г/10Д
География (1)
47"
4,"4
11:45 - 12:30",--,--,--,--,--,"10А/10Б/10В/10Г/10Д
География (1)
47"
5,"5
12:50 - 13:35",--,--,--,--,--,"9Д
География
47"
6,"6
13:55 - 14:40",--,--,--,--,--,"9Д
География
47"
7,"7
14:50 - 15:35",--,--,--,--,--,--
8,"8
15:45 - 16:30",--,--,--,--,--,--
