,,Понедельник,Вторник,Среда,Четверг,Пятница,Суббота
0,"0
08:30 - 08:55",--,--,--,--,--,--
1,"1
09:00 - 09:45","7Б
Рус.яз.
53","7В
Литература
40",--,--,"7Б
Рус.яз.
52","6А
Рус.яз.
309"
2,"2
09:55 - 10:40","7Б
Рус.яз.
53","7В
Литература
40",--,--,"6А
Литература
52","6А
Рус.яз.
309"
3,"3
10:50 - 11:35","7В
Рус.яз.
54","6А
Литература
40",--,--,"7Б
Рус.яз.
52",--
4,"4
11:45 - 12:30","6А
Рус.яз.
52","6А
Литература
40",--,--,"7В
Рус.яз.
52",--
5,"5
12:50 - 13:35","6А
Рус.яз.
52","7Б
Литература
40",--,--,"6А
Рус.яз.
52","7В
Рус.яз.
309"
6,"6
13:55 - 14:40",--,"7Б
Литература
40",--,--,"6А
Рус.яз.
52","7В
Рус.яз.
309"
7,"7
14:50 - 15:35",--,--,--,--,--,--
8,"8
15:45 - 16:30",--,--,--,--,--,--
