,,Понедельник,Вторник,Среда,Четверг,Пятница,Суббота
0,"0
08:30 - 08:55",--,--,--,--,--,--
1,"1
09:00 - 09:45",--,--,--,--,"7А
Геометрия
47",--
2,"2
09:55 - 10:40",--,--,--,"10В
Геометрия
30","7А
Геометрия
47",--
3,"3
10:50 - 11:35","7А
Алгебра
409","10В
Геометрия
310","7А
Практ.Мат.
34","7А
Алгебра и теория
вероятностей
410",--,--
4,"4
11:45 - 12:30","7А
Алгебра
409","10В
Геометрия
310","7А
Практ.Мат.
34","7А
Алгебра и теория
вероятностей
410",--,--
5,"5
12:50 - 13:35",--,"7А
Геометрия
45","7А
Практ.Мат.
34","11В
Подготовка к ЕГЭ по
математике
309",--,--
6,"6
13:55 - 14:40",--,"7А
Геометрия
45","7А
Практ.Мат.
34","11В
Подготовка к ЕГЭ по
математике
309",--,--
7,"7
14:50 - 15:35",--,--,--,--,--,--
8,"8
15:45 - 16:30",--,--,--,--,--,--
