,,Понедельник,Вторник,Среда,Четверг,Пятница,Суббота
0,"0
08:30 - 08:55",--,--,--,--,--,--
1,"1
09:00 - 09:45",--,--,--,--,"9Б
Геометрия
34",--
2,"2
09:55 - 10:40",--,--,--,--,"9Б
Геометрия
34",--
3,"3
10:50 - 11:35","9Б
Практ.Мат.
34","9Б
Алгебра и теория
вероятностей
34",--,--,--,--
4,"4
11:45 - 12:30","9Б
Практ.Мат.
34","9Б
Алгебра и теория
вероятностей
34",--,--,--,--
5,"5
12:50 - 13:35","9Б
Практ.Мат.
34",--,--,"9Б
Алгебра
34",--,--
6,"6
13:55 - 14:40","9Б
Практ.Мат.
34",--,--,"9Б
Алгебра
34",--,--
7,"7
14:50 - 15:35",--,--,--,"9Б
Геометрия
34",--,--
8,"8
15:45 - 16:30",--,--,--,--,--,--
