,,Понедельник,Вторник,Среда,Четверг,Пятница,Суббота
0,"0
08:30 - 08:55",--,--,--,--,--,--
1,"1
09:00 - 09:45",--,--,"10А/10Б/10В/10Г
Практ.эк. (1)
310",--,"11А/11Б/11В/11Г/11Д
Макроэкономика (1)
310",--
2,"2
09:55 - 10:40",--,--,"10А/10Б/10В/10Г
Практ.эк. (1)
310",--,"11А/11Б/11В/11Г/11Д
Макроэкономика (1)
310",--
3,"3
10:50 - 11:35",--,"11А/11Б/11В/11Г/11Д
Кружок по экономике (1)
47","9А/9Г/9Д
Обществ.
310",--,"9Б/9В
Обществ.
309",--
4,"4
11:45 - 12:30",--,"11А/11Б/11В/11Г/11Д
Кружок по экономике (1)
47","9А/9Г/9Д
Обществ.
310",--,"9Б/9В
Обществ.
309",--
5,"5
12:50 - 13:35",--,--,"10В/10Г/10Д
Практ.эк. (2)
310",--,"10А/10Б/10В/10Г/10Д
Микроэкономика (1)
310",--
6,"6
13:55 - 14:40",--,--,"10В/10Г/10Д
Практ.эк. (2)
310",--,"10А/10Б/10В/10Г/10Д
Микроэкономика (1)
310",--
7,"7
14:50 - 15:35",--,--,"9А
Обществ.
310",--,"9Б/9В
Обществ.
310",--
8,"8
15:45 - 16:30",--,--,--,--,--,--
