,,Понедельник,Вторник,Среда,Четверг,Пятница,Суббота
0,"0
08:30 - 08:55",--,--,--,--,--,--
1,"1
09:00 - 09:45",--,--,--,"7В
Практ.Мат.
34",--,--
2,"2
09:55 - 10:40",--,--,--,"7В
Практ.Мат.
34","7В
Алгебра
40",--
3,"3
10:50 - 11:35","7Б
Практ.Мат.
20",--,"7Б
Алгебра
54","7В
Практ.Мат.
34","7В
Алгебра
40",--
4,"4
11:45 - 12:30","7Б
Практ.Мат.
20",--,"7Б
Алгебра
54","7В
Практ.Мат.
34","7Б
Алгебра и теория
вероятностей
40",--
5,"5
12:50 - 13:35","7Б
Практ.Мат.
20",--,"7В
Алгебра и теория
вероятностей
53",--,"7Б
Алгебра и теория
вероятностей
40",--
6,"6
13:55 - 14:40","7Б
Практ.Мат.
20",--,"7В
Алгебра и теория
вероятностей
53",--,--,--
7,"7
14:50 - 15:35",--,--,--,--,--,--
8,"8
15:45 - 16:30",--,--,--,--,--,--
