,,Понедельник,Вторник,Среда,Четверг,Пятница,Суббота
0,"0
08:30 - 08:55",--,--,--,--,--,--
1,"1
09:00 - 09:45",--,"7Д
Англ.яз.
46",--,--,--,--
2,"2
09:55 - 10:40",--,"7Д
Англ.яз.
46",--,--,"7Д
Англ.яз.
29",--
3,"3
10:50 - 11:35",--,--,--,--,"10Г/10Д
Англ.яз. (2)
кз",--
4,"4
11:45 - 12:30",--,--,--,--,"10Г/10Д
Англ.яз. (2)
кз",--
5,"5
12:50 - 13:35",--,"10Г/10Д
Англ.яз. (1)
46",--,--,--,--
6,"6
13:55 - 14:40",--,"10Г/10Д
Англ.яз. (1)
46",--,--,--,--
7,"7
14:50 - 15:35",--,"10Г/10Д
Англ.яз. (2)
46",--,--,"10Г/10Д
Англ.яз. (1)
29",--
8,"8
15:45 - 16:30",--,--,--,--,--,--
