,"0
08:30 - 08:55","1
09:00 - 09:45","2
09:55 - 10:40","3
10:50 - 11:35","4
11:45 - 12:30","5
12:50 - 13:35","6
13:55 - 14:40","7
14:50 - 15:35","8
15:45 - 16:30"
0,,"8Б
Практ.Физ.
409","8Б
Практ.Физ.
409",,,"8Б
Практ.Физ.
409","8Б
Практ.Физ.
409",,
1,,,,"8В
Практ.Физ.
409","8В
Практ.Физ.
409","8В
Практ.Физ.
409","8В
Практ.Физ.
409",,
2,,,,,,,,,
3,,"6В
Физика
409","6В
Физика
409","6Б
Физика
409","6Б
Физика
409","6А
Физика
409","6А
Физика
409",,
4,,"8Г
Практ.Физ.
409","8Г
Практ.Физ.
409","8Г
Практ.Физ.
409","8Г
Практ.Физ.
409",,,,
5,,,,,,,,,
