,,Понедельник,Вторник,Среда,Четверг,Пятница,Суббота
0,"0
08:30 - 08:55",--,--,--,--,--,--
1,"1
09:00 - 09:45","9Г
Практ.Мат.
310",--,--,--,"9Г
Алгебра и теория вероятностей
45","9Г
Геометрия
30"
2,"2
09:55 - 10:40","9Г
Практ.Мат.
310",--,--,--,"9Г
Алгебра и теория вероятностей
45","9Г
Геометрия
30"
3,"3
10:50 - 11:35",--,--,--,--,--,--
4,"4
11:45 - 12:30",--,--,--,--,--,--
5,"5
12:50 - 13:35",--,"9Г
Алгебра
30","9Г
Геометрия
47",--,--,--
6,"6
13:55 - 14:40",--,"9Г
Алгебра
30",--,--,--,--
7,"7
14:50 - 15:35",--,--,--,--,--,--
8,"8
15:45 - 16:30",--,--,--,--,--,--
