,,Понедельник,Вторник,Среда,Четверг,Пятница,Суббота
0,"0
08:30 - 08:55",--,--,--,--,--,--
1,"1
09:00 - 09:45",--,--,--,--,--,--
2,"2
09:55 - 10:40",--,"8В
Обществ.
47",--,--,--,--
3,"3
10:50 - 11:35",--,--,--,"8В
Обществ.
54",--,--
4,"4
11:45 - 12:30",--,--,--,"8Г
Обществ.
54",--,--
5,"5
12:50 - 13:35",--,"10А/10Б/10В/10Г/10Д
География (1)
53",--,"8Г
Обществ.
54",--,--
6,"6
13:55 - 14:40",--,"10А/10Б/10В/10Г/10Д
География (1)
53",--,"8В
Обществ.
54",--,--
7,"7
14:50 - 15:35",--,"8Г
Обществ.
48",--,"10А/10Б/10В/10Г/10Д
Макроэкономика (1)
54",--,--
8,"8
15:45 - 16:30",--,--,--,"10А/10Б/10В/10Г/10Д
Макроэкономика (1)
54",--,--
