,,Понедельник,Вторник,Среда,Четверг,Пятница,Суббота
0,"0
08:30 - 08:55","10А
Классный Час
51",--,--,--,--,--
1,"1
09:00 - 09:45","10А
Химия
51",--,"9Г
Химия
51","10Б
Химия
51",--,--
2,"2
09:55 - 10:40","10А
Химия
51",--,"9Г
Химия
51","10Б
Химия
51",--,--
3,"3
10:50 - 11:35","9А
Химия
51",--,"9В
Химия
51","10В
Химия
51",--,--
4,"4
11:45 - 12:30","10Д
Химия
51",--,"9В
Химия
51","10Д
Химия
51",--,--
5,"5
12:50 - 13:35","10Г
Химия
51",--,"9Б
Химия
51","9Д
Химия
51",--,--
6,"6
13:55 - 14:40","10Г
Химия
51",--,"9Б
Химия
51","9Д
Химия
51",--,--
7,"7
14:50 - 15:35",--,--,"10В
Химия
51","9А
Химия
51",--,--
8,"8
15:45 - 16:30",--,--,--,--,--,--
