,Класс,Урок №,Урок по расписанию,Замены кабинетов
1,10АБВГД,1-2,"Информатика
Федоров К.Е.
25 каб.",23
0,11АБВГД,3-4,"Информатика
Федоров К.Е.
25 каб.",23
2,10АБВ,5-6,"Информатика
Федоров К.Е.
25 каб.",23
