,Класс,Время,Инфо
0,9 кл.,10:00-17:00,"Теория
Бердникова А.О.
Вахитов Р.Р.
412 каб."
1,10 кл.,с 10:00,"Практикумы
Критченкова А.М.
Конференц-зал"
