,Класс,Время,Инфо
0,8кл (Эйлер),10.00-14.00,"ТУР
Соколов А.
34 каб."
1,8кл (регион),9.00-11.00,"Грехова Д.Д.
Онлайн"
2,8кл (регион),12.30-14.30,"Нелаев К.А.
Онлайн"
3,9 кл (группа1),9:00-14:30,"Губанов С.А.
Онлайн"
4,9 кл (группа2),9:00-14:30,"Пешнин А.М.
Онлайн"
5,10 кл.,9:00-11:00,"Бибиков П.В.
Онлайн"
6,10 кл.,10 кл.,12:30-14:30
7,11 кл.,9:00 - 11:00,"Шевцов А.А.
Онлайн"
8,11 кл.,12:30-14:30,"Мехралиев А.Р.
Онлайн"
