,Класс,Урок №,Урок по расписанию,Замены кабинетов
2,11 классы,1-2,"Федоров К.Е.
25 каб.",28
0,11 классы,3-4,"Краснобаев В. Д.
412 каб.",27
1,11 классы,5-6,"Краснобаев В. Д.
412 каб.",27
