,Класс,Время,Инфо
0,9 кл,с 10:00,"Практикумы
Критченкова А.М.
Конференц-зал"
1,10 кл,9:00-12:00,"Теория
Гук Н.Д."
2,10 кл,12:30-14:40,"Тур по оптике
Критченкова А.М.
34 каб."
3,10 кл,с 14:50,"Разбор тура
Критченкова А.М.
34 каб."
