,Класс,Урок №,Урок по расписанию,Замены кабинетов
0,10Б,1-2,"Биология
Рудик Ю.А.
48",47
1,10В,3-4,"Биология
Рудик Ю.А.
48",47
2,10А,7,"Биология
Рудик Ю.А.
48",47
