,Класс,Урок №,Урок по расписанию,Замены кабинетов
0,9Д,1-2,"Физика Крюков П. А.
412",415
1,7Б,2,"Астрономия Безбородова
И. Н. 415",311
2,10 классы,3-4,"Практ.физ Аркушин
412",309
3,10 классы,"П
5-6","ракт.физ Аркушин
412",310
